Province,Cases,Year,Code_GADM,Name_GADM
İSTANBUL,1,2004,TUR.40_1,Istanbul
İZMİR,0,2004,TUR.41_1,Izmir
ÇANAKKALE,0,2004,TUR.22_1,�anakkale
ÇANKIRI,9,2004,TUR.23_1,�ankiri
ÇORUM,9,2004,TUR.24_1,�orum
AĞRI,0,2004,TUR.4_1,Agri
ADANA,0,2004,TUR.1_1,Adana
ADIYAMAN,0,2004,TUR.2_1,Adiyaman
AFYONKARAHİSAR,0,2004,TUR.3_1,Afyon
AKSARAY,0,2004,TUR.5_1,Aksaray
AMASYA,5,2004,TUR.6_1,Amasya
ANKARA,5,2004,TUR.7_1,Ankara
ANTALYA,0,2004,TUR.8_1,Antalya
ARDAHAN,0,2004,TUR.9_1,Ardahan
ARTVİN,4,2004,TUR.10_1,Artvin
AYDIN,0,2004,TUR.11_1,Aydin
ŞANLIURFA,2,2004,TUR.68_1,Sanliurfa
ŞIRNAK,0,2004,TUR.71_1,Sirnak
BİLECİK,0,2004,TUR.16_1,Bilecik
BİNGÖL,0,2004,TUR.17_1,Bing�l
BİTLİS,0,2004,TUR.18_1,Bitlis
BALIKESİR,0,2004,TUR.12_1,Balikesir
BARTIN,0,2004,TUR.13_1,Bartin
BATMAN,0,2004,TUR.14_1,Batman
BAYBURT,0,2004,TUR.15_1,Bayburt
BOLU,0,2004,TUR.19_1,Bolu
BURDUR,0,2004,TUR.20_1,Burdur
BURSA,0,2004,TUR.21_1,Bursa
DİYARBAKIR,0,2004,TUR.26_1,Diyarbakir
DÜZCE,0,2004,TUR.27_1,D�zce
DENİZLİ,0,2004,TUR.25_1,Denizli
EDİRNE,0,2004,TUR.28_1,Edirne
ELAZIĞ,0,2004,TUR.29_1,Elazig
ERZİNCAN,2,2004,TUR.30_1,Erzincan
ERZURUM,13,2004,TUR.31_1,Erzurum
ESKİŞEHİR,0,2004,TUR.32_1,Eskisehir
GİRESUN,2,2004,TUR.34_1,Giresun
GÜMÜŞHANE,27,2004,TUR.35_1,G�m�shane
GAZİANTEP,0,2004,TUR.33_1,Gaziantep
HAKKARİ,0,2004,TUR.36_1,Hakkari
HATAY,0,2004,TUR.37_1,Hatay
IĞDIR,0,2004,TUR.38_1,Igdir
ISPARTA,0,2004,TUR.39_1,Isparta
KİLİS,0,2004,TUR.48_1,Kilis
KAHRAMANMARAŞ,0,2004,TUR.42_1,K. Maras
KÜTAHYA,0,2004,TUR.54_1,K�tahya
KARABÜK,1,2004,TUR.43_1,Karab�k
KARAMAN,0,2004,TUR.44_1,Karaman
KARS,0,2004,TUR.45_1,Kars
KASTAMONU,1,2004,TUR.46_1,Kastamonu
KAYSERİ,1,2004,TUR.47_1,Kayseri
KIRŞEHİR,2,2004,TUR.51_1,Kirsehir
KIRIKKALE,0,2004,TUR.49_1,Kinkkale
KIRKLARELİ,0,2004,TUR.50_1,Kirklareli
KOCAELİ,0,2004,TUR.52_1,Kocaeli
KONYA,0,2004,TUR.53_1,Konya
MALATYA,0,2004,TUR.55_1,Malatya
MANİSA,0,2004,TUR.56_1,Manisa
MARDİN,0,2004,TUR.57_1,Mardin
MERSİN,0,2004,TUR.58_1,Mersin
MUŞ,1,2004,TUR.60_1,Mus
MUĞLA,0,2004,TUR.59_1,Mugla
NİĞDE,0,2004,TUR.62_1,Nigde
NEVŞEHİR,0,2004,TUR.61_1,Nevsehir
ORDU,7,2004,TUR.63_1,Ordu
OSMANİYE,0,2004,TUR.64_1,Osmaniye
RİZE,0,2004,TUR.65_1,Rize
SİİRT,0,2004,TUR.69_1,Siirt
SİNOP,0,2004,TUR.70_1,Sinop
SİVAS,31,2004,TUR.72_1,Sivas
SAKARYA,0,2004,TUR.66_1,Sakarya
SAMSUN,1,2004,TUR.67_1,Samsun
TEKİRDAĞ,0,2004,TUR.73_1,Tekirdag
TOKAT,101,2004,TUR.74_1,Tokat
TRABZON,0,2004,TUR.75_1,Trabzon
TUNCELİ,0,2004,TUR.76_1,Tunceli
UŞAK,0,2004,TUR.77_1,Usak
VAN,0,2004,TUR.78_1,Van
YALOVA,0,2004,TUR.79_1,Yalova
YOZGAT,24,2004,TUR.80_1,Yozgat
ZONGULDAK,0,2004,TUR.81_1,Zinguldak
İSTANBUL,3,2005,TUR.40_1,Istanbul
İZMİR,2,2005,TUR.41_1,Izmir
ÇANAKKALE,0,2005,TUR.22_1,�anakkale
ÇANKIRI,5,2005,TUR.23_1,�ankiri
ÇORUM,22,2005,TUR.24_1,�orum
AĞRI,0,2005,TUR.4_1,Agri
ADANA,0,2005,TUR.1_1,Adana
ADIYAMAN,0,2005,TUR.2_1,Adiyaman
AFYONKARAHİSAR,0,2005,TUR.3_1,Afyon
AKSARAY,0,2005,TUR.5_1,Aksaray
AMASYA,10,2005,TUR.6_1,Amasya
ANKARA,12,2005,TUR.7_1,Ankara
ANTALYA,0,2005,TUR.8_1,Antalya
ARDAHAN,0,2005,TUR.9_1,Ardahan
ARTVİN,2,2005,TUR.10_1,Artvin
AYDIN,0,2005,TUR.11_1,Aydin
ŞANLIURFA,1,2005,TUR.68_1,Sanliurfa
ŞIRNAK,0,2005,TUR.71_1,Sirnak
BİLECİK,0,2005,TUR.16_1,Bilecik
BİNGÖL,0,2005,TUR.17_1,Bing�l
BİTLİS,0,2005,TUR.18_1,Bitlis
BALIKESİR,0,2005,TUR.12_1,Balikesir
BARTIN,0,2005,TUR.13_1,Bartin
BATMAN,0,2005,TUR.14_1,Batman
BAYBURT,1,2005,TUR.15_1,Bayburt
BOLU,0,2005,TUR.19_1,Bolu
BURDUR,0,2005,TUR.20_1,Burdur
BURSA,0,2005,TUR.21_1,Bursa
DİYARBAKIR,0,2005,TUR.26_1,Diyarbakir
DÜZCE,0,2005,TUR.27_1,D�zce
DENİZLİ,0,2005,TUR.25_1,Denizli
EDİRNE,0,2005,TUR.28_1,Edirne
ELAZIĞ,0,2005,TUR.29_1,Elazig
ERZİNCAN,5,2005,TUR.30_1,Erzincan
ERZURUM,22,2005,TUR.31_1,Erzurum
ESKİŞEHİR,0,2005,TUR.32_1,Eskisehir
GİRESUN,9,2005,TUR.34_1,Giresun
GÜMÜŞHANE,19,2005,TUR.35_1,G�m�shane
GAZİANTEP,0,2005,TUR.33_1,Gaziantep
HAKKARİ,0,2005,TUR.36_1,Hakkari
HATAY,0,2005,TUR.37_1,Hatay
IĞDIR,1,2005,TUR.38_1,Igdir
ISPARTA,0,2005,TUR.39_1,Isparta
KİLİS,0,2005,TUR.48_1,Kilis
KAHRAMANMARAŞ,0,2005,TUR.42_1,K. Maras
KÜTAHYA,0,2005,TUR.54_1,K�tahya
KARABÜK,0,2005,TUR.43_1,Karab�k
KARAMAN,0,2005,TUR.44_1,Karaman
KARS,0,2005,TUR.45_1,Kars
KASTAMONU,12,2005,TUR.46_1,Kastamonu
KAYSERİ,0,2005,TUR.47_1,Kayseri
KIRŞEHİR,1,2005,TUR.51_1,Kirsehir
KIRIKKALE,2,2005,TUR.49_1,Kinkkale
KIRKLARELİ,1,2005,TUR.50_1,Kirklareli
KOCAELİ,0,2005,TUR.52_1,Kocaeli
KONYA,0,2005,TUR.53_1,Konya
MALATYA,0,2005,TUR.55_1,Malatya
MANİSA,1,2005,TUR.56_1,Manisa
MARDİN,1,2005,TUR.57_1,Mardin
MERSİN,0,2005,TUR.58_1,Mersin
MUŞ,0,2005,TUR.60_1,Mus
MUĞLA,0,2005,TUR.59_1,Mugla
NİĞDE,0,2005,TUR.62_1,Nigde
NEVŞEHİR,0,2005,TUR.61_1,Nevsehir
ORDU,3,2005,TUR.63_1,Ordu
OSMANİYE,0,2005,TUR.64_1,Osmaniye
RİZE,0,2005,TUR.65_1,Rize
SİİRT,0,2005,TUR.69_1,Siirt
SİNOP,0,2005,TUR.70_1,Sinop
SİVAS,33,2005,TUR.72_1,Sivas
SAKARYA,0,2005,TUR.66_1,Sakarya
SAMSUN,4,2005,TUR.67_1,Samsun
TEKİRDAĞ,0,2005,TUR.73_1,Tekirdag
TOKAT,72,2005,TUR.74_1,Tokat
TRABZON,0,2005,TUR.75_1,Trabzon
TUNCELİ,2,2005,TUR.76_1,Tunceli
UŞAK,0,2005,TUR.77_1,Usak
VAN,0,2005,TUR.78_1,Van
YALOVA,0,2005,TUR.79_1,Yalova
YOZGAT,19,2005,TUR.80_1,Yozgat
ZONGULDAK,0,2005,TUR.81_1,Zinguldak
İSTANBUL,3,2006,TUR.40_1,Istanbul
İZMİR,1,2006,TUR.41_1,Izmir
ÇANAKKALE,1,2006,TUR.22_1,�anakkale
ÇANKIRI,9,2006,TUR.23_1,�ankiri
ÇORUM,68,2006,TUR.24_1,�orum
AĞRI,0,2006,TUR.4_1,Agri
