ID,Start_month,Start_year,End_month,End_year,Host,Community,N_prevalence,No_Positive,Prevalence,Lower_age,Upper_age,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Site_name_7,Latitude_7,Longitude_7,Coordinate_source_7,Admin2_1,Admin2_2,Admin1_1,Publication_year,Source_1,Source_2
13,,2007,,2009,Homo sapiens,,73,25,0.342465753,0,16,Positive in two independent serological tests,Argentina,point,Pampa Avila,,,,,,,,,,,,,,,,,,,,,,,,,,,,4532,,,2013,"Rumi, M. M. et al. Benznidazole treatment in chronic children infected with Trypanosoma cruzi: Serological and molecular follow-up of patients and identification of Discrete Typing Units. Acta Tropica 128, 130-136 (2013).",
14,,2004,,2009,Homo sapiens,,148,32,0.216216216,0,16,Positive in two independent serological tests,Argentina,point,Tres Estacas,-26.92417,-62.62667,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Rumi, M. M. et al. Benznidazole treatment in chronic children infected with Trypanosoma cruzi: Serological and molecular follow-up of patients and identification of Discrete Typing Units. Acta Tropica 128, 130-136 (2013).",
38,9,2003,4,2004,Homo sapiens,,39,4,0.102564103,0,99,Positive in two independent serological tests,Colombia,point,Tierra Firme,9.22995,-74.39691,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
39,9,2003,4,2004,Homo sapiens,,53,7,0.132075472,0,99,Positive in two independent serological tests,Colombia,point,El Recreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
40,9,2003,4,2004,Homo sapiens,,29,7,0.24137931,0,99,Positive in two independent serological tests,Colombia,point,San Valentin,9.35083,-74.24472,Geonames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
41,9,2003,4,2004,Homo sapiens,,2,1,0.5,0,99,Positive in two independent serological tests,Colombia,point,Menchiquejo,9.18738,-74.04343,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
42,9,2003,4,2004,Homo sapiens,,27,5,0.185185185,0,99,Positive in two independent serological tests,Colombia,point,San Fernando,,,,,,,,,,,,,,,,,,,,,,,,,,,,13520,,,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
43,9,2003,4,2004,Homo sapiens,,28,6,0.214285714,0,99,Positive in two independent serological tests,Colombia,point,Troncocito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,2013,"Vasquez, C., Robledo, S., Calle, J. & Triana, O. Identification of new epidemiological scenarios for Chagas disease in the Momposina region, North of Colombia. Biomedica 33, 526-537 (2013).",
45,7,2011,5,2012,Homo sapiens,,224,25,0.111607143,2,15,Positive in two independent serological tests,Bolivia,point,Eiti,-19.73334,-63.41661,Google Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
46,7,2011,5,2012,Homo sapiens,,119,18,0.151260504,2,15,Positive in two independent serological tests,Bolivia,point,Guasuanti,,,,,,,,,,,,,,,,,,,,,,,,,,,,40525,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
47,7,2011,5,2012,Homo sapiens,,108,16,0.148148148,2,15,Positive in two independent serological tests,Bolivia,point,Sinai,,,,,,,,,,,,,,,,,,,,,,,,,,,,40525,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
48,7,2011,5,2012,Homo sapiens,,56,11,0.196428571,2,15,Positive in two independent serological tests,Bolivia,point,Paja Colorada,-20.26667,-63.48333,GeoNames,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
49,7,2011,5,2012,Homo sapiens,,102,21,0.205882353,2,15,Positive in two independent serological tests,Bolivia,point,Itapicoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,40525,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
50,7,2011,5,2012,Homo sapiens,,168,57,0.339285714,2,15,Positive in two independent serological tests,Bolivia,point,El Cruce,,,,,,,,,,,,,,,,,,,,,,,,,,,,40525,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
51,7,2011,5,2012,Homo sapiens,,31,12,0.387096774,2,15,Positive in two independent serological tests,Bolivia,point,Karavaicho,,,,,,,,,,,,,,,,,,,,,,,,,,,,40525,,,2013,"Samuels, A. M. et al. Epidemiology of and impact of insecticide spraying on Chagas disease in communities in the Bolivian Chaco. PLoS. Negl. Trop. Dis. 7 (2013).",
101,3,2010,5,2010,Homo sapiens,,128,3,0.0234375,16,99,Positive in one serological test,Mexico,point,San Juan Bautista Sakcabchen,19.92278,-89.92806,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Monteon, V., Alducin, C., Hernandez, J., Ramos-Ligonio, A. & Lopez, R. High frequency of human blood in Triatoma dimidiata captured inside dwellings in a rural community in the Yucatan peninsula, Mexico, but low antibody seroprevalence and electrocardiographic findings compatible with chagas Disease in humans. Am. J. Trop. Med. Hyg. 88, 566-571 (2013).",
102,8,2007,8,2007,Homo sapiens,,246,4,0.016260163,1,89,Positive in two independent serological tests,Ecuador,point,Arajuno,-1.2088,-77.67077,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Guevara, A. G. et al. Seroepidemiological study of chagas disease in the southern Amazon region of ecuador. Trop. Med. Health 41, 21-25 (2013).",
103,6,2008,6,2008,Homo sapiens,,95,5,0.052631579,1,89,Positive in two independent serological tests,Ecuador,point,Yuwientsa,-2.10929,-77.58563,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Guevara, A. G. et al. Seroepidemiological study of chagas disease in the southern Amazon region of ecuador. Trop. Med. Health 41, 21-25 (2013).",
