ID,Start_month,Start_year,End_month,End_year,Host,Host class 1,Host class 2,N_prevalence,No_Positive,Prevalence,Diagnosis,Country,Geometry_type,Site_name_1,Latitude_1,Longitude_1,Coordinate_source_1,Site_name_2,Latitude_2,Longitude_2,Coordinate_source_2,Site_name_3,Latitude_3,Longitude_3,Coordinate_source_3,Site_name_4,Latitude_4,Longitude_4,Coordinate_source_4,Site_name_5,Latitude_5,Longitude_5,Coordinate_source_5,Site_name_6,Latitude_6,Longitude_6,Coordinate_source_6,Admin2_1,Admin2_2,Admin2_3,Admin2_4,Admin2_5,Admin1_1,Admin1_2,Admin1_3,Public_year,Source_1,Source_2
1,3,2010,6,2010,Triatoma infestans,Triatoma,vector,1,0,0,Positive in genetic test,Bolivia,point,SV4A Villa Urkupiña,-17.42333,-66.29056,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).",
2,12,2010,5,2011,Triatoma infestans,Triatoma,vector,5,5,1,Positive in genetic test,Bolivia,point,TUN01 nr Huayhuasi,-16.70708,-67.99379,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
3,5,2011,5,2011,Triatoma infestans,Triatoma,vector,6,6,1,Positive in genetic test,Bolivia,point,VIZ01 nr Aucani,-16.69041,-68.01104,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
4,5,2008,5,2008,Triatoma infestans,Triatoma,vector,1,1,1,Positive in genetic test,Bolivia,point,RUI01 nr Tahuapalca,-16.71568,-67.87043,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
5,6,2008,6,2008,Triatoma infestans,Triatoma,vector,1,1,1,Positive in genetic test,Bolivia,point,QUE01 nr Achocara Bajo,-17.03189,-67.67739,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
6,6,2008,6,2008,Triatoma infestans,Triatoma,vector,1,0,0,Positive in genetic test,Bolivia,point,CAC03 Palca,-17.00836,-67.657,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
7,6,2008,6,2008,Triatoma infestans,Triatoma,vector,3,2,0.666666667,Positive in genetic test,Bolivia,point,TUN06 Catavi,-17.07367,-67.63325,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
8,6,2008,6,2008,Triatoma infestans,Triatoma,vector,1,0,0,Positive in genetic test,Bolivia,point,TUN07 Peña Colorada,-17.07339,-67.64519,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
9,5,2010,10,2010,Triatoma infestans,Triatoma,vector,2,2,1,Positive in genetic test,Bolivia,point,Sapini,-16.81306,-67.70278,Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).",
10,6,2011,6,2011,Triatoma infestans,Triatoma,vector,1,1,1,Positive in genetic test,Bolivia,point,VIZ02 Lacayani,-16.93022,-67.69247,"Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,"Buitrago, N. L. R. et al. Risk of transmission of Trypanosoma cruzi by wild Triatoma infestans (Hemiptera: Reduviidae) in Bolivia supported by the detection of human blood meals. Infect. Genet. Evol. 19, 141-144 (2013).","Buitrago, R. et al. First Report of Widespread Wild Populations of Triatoma infestans (Reduviidae, Triatominae) in the valleys of La Paz, Bolivia. Am. J. Trop. Med. Hyg. 82, 574-579 (2010)."
