"model","waic","dic","Disease"
"Baseline",2599.61987803638,2657.23491317794,"Crimean-Congo haemorrhagic fever"
"biodiv_intact",2599.46237517177,2650.74649070702,"Crimean-Congo haemorrhagic fever"
"crop_cover",2603.80398885601,2657.05654727854,"Crimean-Congo haemorrhagic fever"
"crop_expansion",2602.59308054312,2660.07623951016,"Crimean-Congo haemorrhagic fever"
"evi_dissimilarity",2425.19189842083,2469.73650668362,"Crimean-Congo haemorrhagic fever"
"forest_cover",2521.44213133467,2580.57443068501,"Crimean-Congo haemorrhagic fever"
"forest_loss",2612.10047454008,2667.9938537778,"Crimean-Congo haemorrhagic fever"
"livestock_all",2625.08794837153,2679.37461319242,"Crimean-Congo haemorrhagic fever"
"precip_change",2609.76938436261,2664.56289256584,"Crimean-Congo haemorrhagic fever"
"protected_areas",2583.91505940712,2637.42495544861,"Crimean-Congo haemorrhagic fever"
"social_vulnerability",2170.37412852584,2227.73940642805,"Crimean-Congo haemorrhagic fever"
"tmean_change",2611.82519391268,2667.19899018949,"Crimean-Congo haemorrhagic fever"
"urban_cover",2010.32794682188,2039.84668876884,"Crimean-Congo haemorrhagic fever"
"urban_expansion",2245.21948612755,2277.84395613011,"Crimean-Congo haemorrhagic fever"
"health_travel_log",1965.25805888599,2009.95551933737,"Crimean-Congo haemorrhagic fever"
"livestock_log",2617.05756545859,2674.63769249798,"Crimean-Congo haemorrhagic fever"
"Causal (broad)",1886.87494637622,1909.98897031869,"Crimean-Congo haemorrhagic fever"
"Causal (strict)",1878.47609963567,1903.25463969478,"Crimean-Congo haemorrhagic fever"
