"model","waic","dic","Disease"
"Baseline",971.438005990583,1004.020087776,"Chikungunya"
"biodiv_intact",929.782392202043,957.074542599281,"Chikungunya"
"crop_cover",951.895319209186,980.427107701953,"Chikungunya"
"crop_expansion",969.754208790985,1000.74570392404,"Chikungunya"
"evi_dissimilarity",871.901475627997,895.896304171382,"Chikungunya"
"forest_cover",913.620365025548,942.459211776667,"Chikungunya"
"forest_loss",958.60760741673,990.499606767142,"Chikungunya"
"precip_change",968.567844731622,999.676415650276,"Chikungunya"
"protected_areas",968.390086451216,999.802695504724,"Chikungunya"
"social_vulnerability",726.71212995746,747.634806250487,"Chikungunya"
"tmean_change",974.370544912634,1006.25996525153,"Chikungunya"
"urban_cover",695.632981312674,721.497909233052,"Chikungunya"
"urban_expansion",781.03318574087,808.973640334198,"Chikungunya"
"health_travel_log",717.752809072766,738.009349316365,"Chikungunya"
"livestock_log",949.335046742959,979.835537851712,"Chikungunya"
"Causal (broad)",665.416966860027,683.497699144156,"Chikungunya"
"Causal (strict)",660.275875752576,679.638182533619,"Chikungunya"
