"model","waic","dic","Disease"
"Baseline",17579.7568770807,17028.0247090463,"Dengue"
"biodiv_intact",15634.3876091068,15321.1691656359,"Dengue"
"crop_cover",18201.1430825727,17414.8115095299,"Dengue"
"crop_expansion",17820.2484259184,17174.4102886752,"Dengue"
"evi_dissimilarity",13842.7787632108,13791.436424677,"Dengue"
"forest_cover",15321.775279856,14972.0390647747,"Dengue"
"forest_loss",16922.26169734,16427.0596043839,"Dengue"
"precip_change",17340.7210311544,16819.3535300807,"Dengue"
"protected_areas",17727.569710432,17142.6078407256,"Dengue"
"social_vulnerability",12731.7693634553,12742.4610195769,"Dengue"
"tmean_change",17612.1066123596,17034.42630855,"Dengue"
"urban_cover",11620.1266891858,11651.4025203421,"Dengue"
"urban_expansion",12773.2470961367,12716.9479468039,"Dengue"
"health_travel_log",12554.8274494983,12516.4896337902,"Dengue"
"livestock_log",17044.942555758,16566.1649924963,"Dengue"
"Causal (broad)",11306.8676885356,11345.1404542402,"Dengue"
"Causal (strict)",11379.1401892036,11410.1279479707,"Dengue"
