"model","waic","dic","Disease"
"Baseline",573.654923022508,582.144751841317,"Eastern equine encephalitis"
"biodiv_intact",570.565564482951,580.024533321398,"Eastern equine encephalitis"
"crop_cover",562.67437944333,573.827474177779,"Eastern equine encephalitis"
"crop_expansion",574.43699288636,583.475892963434,"Eastern equine encephalitis"
"evi_dissimilarity",573.283595884215,581.374297917403,"Eastern equine encephalitis"
"forest_cover",573.680448729796,582.679967679352,"Eastern equine encephalitis"
"forest_loss",575.183466529156,583.738456127585,"Eastern equine encephalitis"
"mining",575.209182223846,583.701305291959,"Eastern equine encephalitis"
"precip_change",572.667259112805,581.397180763423,"Eastern equine encephalitis"
"protected_areas",573.663695487443,582.503386149236,"Eastern equine encephalitis"
"social_vulnerability",571.009110932813,579.83189790646,"Eastern equine encephalitis"
"tmean_change",574.067451085974,583.078240116652,"Eastern equine encephalitis"
"urban_cover",573.049104064372,581.724096769384,"Eastern equine encephalitis"
"urban_expansion",574.373107574464,582.848327414486,"Eastern equine encephalitis"
"health_travel_log",575.045201960386,583.665066505086,"Eastern equine encephalitis"
"livestock_log",566.160830408284,577.451156986244,"Eastern equine encephalitis"
"Causal (broad)",568.259124815572,579.075478867759,"Eastern equine encephalitis"
"Causal (strict)",566.60227710798,577.233554615166,"Eastern equine encephalitis"
