"model","waic","dic","Disease"
"Baseline",2828.45491297248,2915.52427578105,"Japanese encephalitis"
"biodiv_intact",2532.31509542589,2600.59560782297,"Japanese encephalitis"
"crop_cover",2848.86405126,2929.47679577269,"Japanese encephalitis"
"crop_expansion",2834.46642419607,2920.83070480901,"Japanese encephalitis"
"evi_dissimilarity",2661.91214455357,2750.9859313388,"Japanese encephalitis"
"forest_cover",2665.08042603482,2743.68598697127,"Japanese encephalitis"
"forest_loss",2730.70372998451,2816.45308875272,"Japanese encephalitis"
"precip_change",2752.00437024906,2835.63846312019,"Japanese encephalitis"
"protected_areas",2843.58903592418,2929.67462184193,"Japanese encephalitis"
"social_vulnerability",2390.64275182073,2460.84605719934,"Japanese encephalitis"
"tmean_change",2797.73409229013,2889.27928698631,"Japanese encephalitis"
"urban_cover",2333.12413483062,2402.82369786595,"Japanese encephalitis"
"urban_expansion",2483.27152091036,2562.12440587568,"Japanese encephalitis"
"livestock_pigs",2725.68434817096,2816.96677115849,"Japanese encephalitis"
"health_travel_log",2367.90456231717,2430.97247723266,"Japanese encephalitis"
"livestock_log",2636.05052945006,2726.51998478349,"Japanese encephalitis"
"Causal (broad)",2279.59453070429,2332.4555828958,"Japanese encephalitis"
"Causal (strict)",2275.33584105691,2329.64542743488,"Japanese encephalitis"
