"model","waic","dic","Disease"
"Baseline",2426.69847169582,2456.74749793122,"LaCrosse encephalitis"
"biodiv_intact",2428.37314047658,2458.41986695637,"LaCrosse encephalitis"
"crop_cover",2423.44784189876,2453.47584505239,"LaCrosse encephalitis"
"crop_expansion",2428.58852233855,2458.60880554642,"LaCrosse encephalitis"
"evi_dissimilarity",2423.24393141684,2453.36169750179,"LaCrosse encephalitis"
"forest_cover",2428.31325094097,2458.30932465978,"LaCrosse encephalitis"
"forest_loss",2427.84301018429,2458.31520822685,"LaCrosse encephalitis"
"mining",2426.96105667901,2455.66829319933,"LaCrosse encephalitis"
"precip_change",2427.79259018193,2457.83368952277,"LaCrosse encephalitis"
"protected_areas",2425.14535220836,2454.93984296312,"LaCrosse encephalitis"
"social_vulnerability",2416.94519482173,2447.32296913831,"LaCrosse encephalitis"
"tmean_change",2423.39405954279,2452.99118441868,"LaCrosse encephalitis"
"urban_cover",2411.16445443533,2441.16531179281,"LaCrosse encephalitis"
"urban_expansion",2421.81415708459,2451.64898067735,"LaCrosse encephalitis"
"health_travel_log",2427.18211360391,2457.12943443194,"LaCrosse encephalitis"
"livestock_log",2407.25615218501,2437.06517207647,"LaCrosse encephalitis"
"Causal (broad)",2404.08040011728,2434.54484931666,"LaCrosse encephalitis"
"Causal (strict)",2413.31059252081,2443.40192937404,"LaCrosse encephalitis"
