"model","waic","dic","Disease"
"Baseline",773.632854666977,793.273237483403,"Zika"
"biodiv_intact",773.474545817189,793.371938190456,"Zika"
"crop_cover",775.751379305962,794.98544150797,"Zika"
"crop_expansion",773.118251690236,792.394301621616,"Zika"
"evi_dissimilarity",739.743892840729,756.321626034212,"Zika"
"forest_cover",754.887037348669,772.921566396473,"Zika"
"forest_loss",773.259253542328,792.775248338278,"Zika"
"mining",776.940327741392,795.214355689192,"Zika"
"precip_change",775.098780422371,794.643027983448,"Zika"
"protected_areas",773.781050529446,792.828588315343,"Zika"
"social_vulnerability",716.595355976537,731.994820206209,"Zika"
"tmean_change",773.349542224647,793.084644979449,"Zika"
"urban_cover",693.390586128218,706.328465211126,"Zika"
"urban_expansion",693.010051569396,704.474991572815,"Zika"
"health_travel_log",701.895403377043,711.325013610832,"Zika"
"livestock_log",774.76297241082,794.372218398247,"Zika"
"Causal (broad)",679.375559901822,686.321001919778,"Zika"
"Causal (strict)",675.740972216147,683.571176142801,"Zika"
