"model","waic","dic","Disease"
"Baseline",17579.7568770807,17028.0247090463,"Dengue"
"biodiv_intact",15634.3876091068,15321.1691656359,"Dengue"
"crop_cover",18201.2942990518,17414.9364648833,"Dengue"
"crop_expansion",17821.3769650453,17175.3602093841,"Dengue"
"evi_dissimilarity",13842.7403252364,13791.4129062153,"Dengue"
"forest_cover",15321.6491251448,14971.9500121211,"Dengue"
"forest_loss",16922.2719251772,16427.0644789665,"Dengue"
"precip_change",17340.508589589,16819.1877766307,"Dengue"
"protected_areas",17727.569710432,17142.6078407256,"Dengue"
"social_vulnerability",12731.7696446104,12742.4611298206,"Dengue"
"tmean_change",17612.1876831045,17034.4917028415,"Dengue"
"urban_cover",11620.1263740857,11651.4024048426,"Dengue"
"urban_expansion",12774.5892335602,12717.6228567466,"Dengue"
"health_travel_log",12554.8270711606,12516.4894783351,"Dengue"
"livestock_log",17044.9183060644,16566.1466161817,"Dengue"
"Causal (broad)",11306.8677209347,11345.1404624008,"Dengue"
"Causal (strict)",11379.1399787786,11410.1277496121,"Dengue"
