"model","waic","dic","Disease"
"Baseline",37151.8407418309,37180.2296996694,"Lyme disease"
"tmean_change",37134.7839140428,37164.0330232579,"Lyme disease"
"precip_change",37152.9021034668,37181.1540939209,"Lyme disease"
"forest_cover",37120.492533444,37149.4781349106,"Lyme disease"
"forest_loss",37155.7020318584,37182.8161704831,"Lyme disease"
"crop_cover",37120.5711925304,37147.2992209349,"Lyme disease"
"crop_expansion",37148.9833559535,37177.1105121574,"Lyme disease"
"urban_cover",37117.6528048934,37144.1442866043,"Lyme disease"
"urban_expansion",37159.6758114453,37186.3861155403,"Lyme disease"
"evi_dissimilarity",37164.6771579336,37190.1852433456,"Lyme disease"
"mining",37151.885433158,37180.4191110564,"Lyme disease"
"biodiv_intact",37144.7220669304,37172.2177108148,"Lyme disease"
"protected_areas",37115.6082497281,37141.3862834576,"Lyme disease"
"social_vulnerability",37163.7008457401,37189.8939120214,"Lyme disease"
"health_travel_log",37095.3804221926,37126.3695661585,"Lyme disease"
"livestock_log",36855.0636420928,36885.5252196858,"Lyme disease"
"Causal (broad)",36921.5411021454,36952.4673461253,"Lyme disease"
"Causal (strict)",36937.0446256777,36969.7300583571,"Lyme disease"
