"model","waic","dic","Disease"
"Baseline",310.697268365047,319.161608236886,"Oropouche fever"
"biodiv_intact",312.529712098023,321.378425687217,"Oropouche fever"
"crop_cover",311.913893370671,320.406235904307,"Oropouche fever"
"crop_expansion",313.340970443781,321.730849531292,"Oropouche fever"
"evi_dissimilarity",260.528059184437,266.00812742163,"Oropouche fever"
"forest_cover",304.397521898906,314.934142540544,"Oropouche fever"
"forest_loss",311.605912168854,320.408272048929,"Oropouche fever"
"hunting",265.802516881331,270.257143554017,"Oropouche fever"
"precip_change",311.702587881841,320.907722018064,"Oropouche fever"
"protected_areas",305.785089503293,313.415452180266,"Oropouche fever"
"social_vulnerability",276.482441482954,282.883876170086,"Oropouche fever"
"tmean_change",311.201291528434,319.220982267636,"Oropouche fever"
"urban_cover",277.92520481297,282.058927670464,"Oropouche fever"
"urban_expansion",291.113402933846,294.607434869673,"Oropouche fever"
"health_travel_log",245.571118507853,248.983478573923,"Oropouche fever"
"livestock_log",312.591002820645,320.818949346913,"Oropouche fever"
"Causal (broad)",218.675348535257,217.920928247054,"Oropouche fever"
"Causal (strict)",214.6196960042,215.286877201168,"Oropouche fever"
