"model","waic","dic","Disease"
"Baseline",2807.13526594055,2839.27612468789,"Brazilian spotted fever"
"biodiv_intact",2806.67058216351,2839.85206594559,"Brazilian spotted fever"
"crop_cover",2805.91358855959,2838.79861291469,"Brazilian spotted fever"
"crop_expansion",2804.4616334985,2836.23869322418,"Brazilian spotted fever"
"evi_dissimilarity",2803.73548558478,2835.89255131993,"Brazilian spotted fever"
"forest_cover",2803.15384161181,2834.4177449385,"Brazilian spotted fever"
"forest_loss",2806.5962193406,2839.19563868499,"Brazilian spotted fever"
"hunting",2805.24313416309,2836.79185419829,"Brazilian spotted fever"
"mining",2808.74421826673,2841.61369033122,"Brazilian spotted fever"
"precip_change",2797.97542160002,2832.80907494323,"Brazilian spotted fever"
"protected_areas",2799.88364839235,2831.60872366121,"Brazilian spotted fever"
"social_vulnerability",2807.20007884935,2839.59133612178,"Brazilian spotted fever"
"tmean_change",2797.52540482729,2831.43267787254,"Brazilian spotted fever"
"urban_cover",2805.27213145177,2837.53751380974,"Brazilian spotted fever"
"urban_expansion",2805.16268872267,2837.63619562782,"Brazilian spotted fever"
"health_travel_log",2808.87806940652,2841.69049730464,"Brazilian spotted fever"
"livestock_log",2803.27497854998,2833.88584456613,"Brazilian spotted fever"
"Causal (broad)",2781.06570176069,2808.9443997105,"Brazilian spotted fever"
"Causal (strict)",2777.20566332846,2804.95309434999,"Brazilian spotted fever"
