"DataType","IfPolygon_AdminLevel","Year","Latitude","Longitude","Country","ADMcode","Disease","ADMSource","NumCases","LocationName","Pathogen","Source"
"point",NA,"1953",38.0944,69.3321,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1953",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1954",42.4129,20.7944,"Serbia",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1954",37.235,69.0988,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1954",37.4917,69.4029,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1954",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1954",37.91,69.78,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1955",37.235,69.0988,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1955",37.87,68.73,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1955",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1956",37.235,69.0988,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1956",37.87,68.73,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1956",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1956",37.7983,69.6367,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1957",37.235,69.0988,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1957",37.5884,68.6587,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1957",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1958",37.235,69.0988,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1958",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1958",0.1164,32.4333,"Uganda",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1959",37.657,69.6272,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1961",0.1,32.43,"Uganda",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1962",38.0944,69.3321,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1962",38.03,69.58,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1963",47.23,39.71,"Russian Federation",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1963",38.0944,69.3321,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1963",38.03,69.58,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1963",37.7983,69.6367,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1963",38.5256,68.5471,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1964",47.23,39.71,"Russian Federation",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
"point",NA,"1964",38.0944,69.3321,"Tajikistan",NA,"Crimean-Congo haemorrhagic fever","GAUL",NA,NA,"Crimean-Congo haemorrhagic fever virus","Messina2015"
