"Year","Longitude","Latitude","Disease","Pathogen","DataType","IfPolygon_AdminLevel","Country","ADMcode","Source","CasesMetric","DiagnosticMetric","SourceType"
1997,-61.033402,-17.404373,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2000,-63.180714,-17.784324,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2001,-63.180714,-17.784324,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2002,-63.498631,-17.500664,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2002,-63.135642,-17.8269,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2002,-63.394403,-17.357356,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2002,-63.180714,-17.784324,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2003,-63.180714,-17.784324,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2003,-64.7167,-21.8833,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2003,-61.507,-17.2378,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2004,-62.025576,-16.131911,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2004,-64.052625,-13.260581,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2004,-63.180714,-17.784324,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2004,-64.3667,-22.65,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2005,-66.1667,-17.38414,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2005,-62.025576,-16.131911,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2005,-64.052625,-13.260581,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2005,-63.180714,-17.784324,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2005,-65.4204,-16.9743,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2006,-62.025576,-16.131911,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
2006,-64.052625,-13.260581,"Dengue","Dengue virus","point",NA,"",NA,"IHME","Outbreak_locations","Not specified","Compiled from literature (IHME)"
