"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","Admin_name","LocationName","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Ebola virus disease","Sudan ebolavirus","point","Sudan",1976,28.25115,4.63912,NA,"Nzara (Cotton Factory)",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","point","DRC/ Zaire",1976,22.22567,2.82535,NA,"Yambuku village (index)",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","polygon","DRC/ Zaire",1977,19.2238430000006,2.88874298197636,NA,"Bonduni village (20km east of Tanda)",NA,"3","Pigott2016","Pigott2016"
"Ebola virus disease","Sudan ebolavirus","point","Sudan",1979,28.25115,4.63912,NA,"Nzara town",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Tai Forest ebolavirus","polygon","Cote d'Ivoire",1994,-7.31793600000009,5.86441896360851,NA,"Tai National Park",NA,"5","Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","polygon","Gabon",1994,12.9292884695128,1.44201046065309,NA,"Mekouka and Andock mining camps",NA,"6","Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","polygon","DRC",1995,18.8166670000001,-5.03333271839875,NA,"Mwembe (15km from Kikwit)",NA,"7","Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","point","Gabon",1996,13.1,1.11667,NA,"Mayibout 2 (index)",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","point","Gabon",1996,11.95,0.1,NA,"Logging camp nr Booue (index 1)",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Sudan ebolavirus","point","Uganda",2000,32.19997,2.94998,NA,"Rwot-Obilo ",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","point","Gabon",2001,14.15543,0.70055,NA,"Memdemba",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","point","Republic of the Congo",2001,14.377736,0.62049,NA,"Oloba, Mbomo district",NA,NA,"Pigott2016","Pigott2016"
"Ebola virus disease","Zaire ebolavirus","point","Gabon",2001,14.28902,0.67705,NA,"Ekata",NA,NA,"Pigott2016","Pigott2016"
