"Disease","Pathogen","DataType","Longitude","Latitude","Year","Country","NumCases","CasesMetric","DiagnosticMetric","IfPolygon_AdminLevel","ADMcode","ADMSource","Source","SourceType"
"Zika","Zika virus","polygon",-36.781967,-9.571605,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_666","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-52.002963,0.901595,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_667","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-41.700702,-12.581148,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_669","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-39.320746,-5.499209,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_670","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-47.921882,-15.82817,2016,"",NA,"Outbreak locations","Not specified",1,"GAUL1_671","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-40.308897,-19.183585,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_672","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-45.274487,-4.961679,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_674","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-56.921121,-12.682581,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_675","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-54.785115,-20.784534,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_676","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-44.555374,-18.513983,0,"",NA,"Outbreak locations","Not specified",1,"GAUL1_677","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-54.930698,-1.999915,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_678","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-36.781949,-7.240351,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_679","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-52.021589,-25.252274,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_680","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-36.954038,-8.814019,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_681","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-42.729656,-7.720058,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_682","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-43.209467,-22.91421,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_683","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-36.954222,-5.403284,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_684","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-63.5806,-11.505862,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_686","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-62.075179,2.732801,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_687","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-46.629258,-23.543561,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_689","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-37.385702,-10.576339,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_690","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-48.298297,-10.176788,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_691","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",104.340354,11.675959,2010,"",NA,"Outbreak locations","Not specified",1,"GAUL1_795","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-23.513321,14.932914,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_848","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-75.341303,7.198385,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_935","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-71.002298,6.5469,2016,"",NA,"Outbreak locations","Not specified",1,"GAUL1_936","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-74.874112,10.696534,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_937","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
"Zika","Zika virus","polygon",-74.029983,8.669735,2015,"",NA,"Outbreak locations","Not specified",1,"GAUL1_938","GAUL","Messina2016","Geolocated outbreak locations from literature and surveillance"
